,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
3130,GMTUSDT,ANKRUSDT,0.01,-3.93,-3.34,8.41,0
3131,GMTUSDT,WINUSDT,0.0,-5.38,-3.34,2754.93,0
3132,GMTUSDT,COSUSDT,0.02,-3.66,-3.34,37.28,0
3133,GMTUSDT,DENTUSDT,0.02,-3.62,-3.34,259.19,0
3134,GMTUSDT,FUNUSDT,0.0,-4.33,-3.34,39.55,0
3135,GMTUSDT,BUSDUSDT,0.0,-4.19,-3.34,0.17,0
3136,GMTUSDT,RVNUSDT,0.01,-3.88,-3.34,10.88,0
3137,GMTUSDT,KAVAUSDT,0.0,-5.8,-3.34,0.24,0
3138,GMTUSDT,CTXCUSDT,0.02,-3.65,-3.34,1.37,0
3052,BTTCUSDT,YFIUSDT,0.03,-3.53,-3.34,0.0,0
3051,BTTCUSDT,DGBUSDT,0.01,-3.91,-3.34,0.0,0
3050,BTTCUSDT,COMPUSDT,0.04,-3.47,-3.34,0.0,0
2976,IMXUSDT,YFIUSDT,0.02,-3.66,-3.34,0.0,0
2964,IMXUSDT,USDCUSDT,0.02,-3.64,-3.34,0.61,0
2965,IMXUSDT,WINUSDT,0.02,-3.76,-3.34,9651.39,0
2966,IMXUSDT,FUNUSDT,0.0,-4.61,-3.34,138.66,0
2967,IMXUSDT,CHZUSDT,0.03,-3.51,-3.34,9.33,0
2968,IMXUSDT,BUSDUSDT,0.0,-4.15,-3.34,0.61,0
2969,IMXUSDT,XTZUSDT,0.02,-3.71,-3.34,0.85,0
1992,FLOWUSDT,ANKRUSDT,0.01,-3.82,-3.34,23.09,0
2971,IMXUSDT,VITEUSDT,0.02,-3.73,-3.34,49.4,0
2972,IMXUSDT,DREPUSDT,0.04,-3.41,-3.34,2.55,0
2973,IMXUSDT,WRXUSDT,0.01,-4.01,-3.34,5.85,0
2974,IMXUSDT,MBLUSDT,0.02,-3.6,-3.34,212.21,0
2975,IMXUSDT,SCUSDT,0.05,-3.36,-3.34,201.08,0
2977,IMXUSDT,BLZUSDT,0.01,-4.11,-3.34,4.96,0
2962,IMXUSDT,ADAUSDT,0.0,-4.57,-3.34,2.28,0
2978,IMXUSDT,CRVUSDT,0.02,-3.76,-3.34,1.22,0
2979,IMXUSDT,SANDUSDT,0.04,-3.47,-3.34,1.79,0
2980,IMXUSDT,WNXMUSDT,0.01,-3.95,-3.34,0.02,0
2981,IMXUSDT,JUVUSDT,0.0,-5.8,-3.34,0.28,0
2982,GLMRUSDT,USDCUSDT,0.03,-3.52,-3.34,0.2,0
2983,GLMRUSDT,OMGUSDT,0.01,-3.88,-3.34,0.41,0
2984,GLMRUSDT,FUNUSDT,0.01,-4.08,-3.34,45.43,0
2985,GLMRUSDT,BUSDUSDT,0.01,-3.94,-3.34,0.2,0
2986,GLMRUSDT,VITEUSDT,0.0,-4.14,-3.34,16.2,0
2987,GLMRUSDT,BLZUSDT,0.02,-3.68,-3.34,1.65,0
2988,GLMRUSDT,USDTDAI,0.04,-3.47,-3.34,0.2,0
2989,GLMRUSDT,DOTUSDT,0.03,-3.52,-3.34,0.04,0
2963,IMXUSDT,TUSDUSDT,0.04,-3.44,-3.34,0.61,0
2961,ACHUSDT,SXPUSDT,0.04,-3.4,-3.34,0.05,0
3049,BTTCUSDT,SOLUSDT,0.05,-3.37,-3.34,0.0,0
2946,JOEUSDT,CELRUSDT,0.0,-4.7,-3.34,21.53,0
2934,JOEUSDT,NULSUSDT,0.0,-4.24,-3.34,1.44,0
2935,JOEUSDT,USDCUSDT,0.02,-3.64,-3.34,0.27,0
2936,JOEUSDT,LINKUSDT,0.03,-3.59,-3.34,0.04,0
2937,JOEUSDT,WAVESUSDT,0.0,-4.13,-3.34,0.16,0
2938,JOEUSDT,ONGUSDT,0.04,-3.39,-3.34,1.2,0
2939,JOEUSDT,HOTUSDT,0.01,-3.93,-3.34,234.68,0
2940,JOEUSDT,ZILUSDT,0.0,-4.12,-3.34,15.12,0
2941,JOEUSDT,ZRXUSDT,0.01,-3.88,-3.34,1.42,0
2942,JOEUSDT,BATUSDT,0.01,-3.97,-3.34,1.45,0
2943,JOEUSDT,XMRUSDT,0.02,-3.7,-3.34,0.0,0
2944,JOEUSDT,ZECUSDT,0.01,-4.01,-3.34,0.01,0
2945,JOEUSDT,IOSTUSDT,0.0,-4.21,-3.34,35.01,0
2947,JOEUSDT,DASHUSDT,0.0,-4.41,-3.34,0.01,0
