,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
187,ETCUSDT,DREPUSDT,0.04,-3.47,-3.34,67.64,0
188,ETCUSDT,WRXUSDT,0.0,-4.38,-3.34,154.68,0
189,ETCUSDT,LSKUSDT,0.0,-4.65,-3.34,21.56,0
190,ETCUSDT,MBLUSDT,0.03,-3.53,-3.34,5612.82,0
191,ETCUSDT,USDTIDRT,0.01,-4.1,-3.34,0.0,0
192,ETCUSDT,HIVEUSDT,0.03,-3.57,-3.34,53.42,0
193,ETCUSDT,STMXUSDT,0.05,-3.36,-3.34,2846.76,0
163,ONTUSDT,CVCUSDT,0.0,-4.14,-3.34,2.26,0
162,ONTUSDT,WANUSDT,0.04,-3.47,-3.34,0.89,0
161,ONTUSDT,DOCKUSDT,0.03,-3.53,-3.34,11.97,0
146,XLMUSDT,VGXUSDT,0.04,-3.45,-3.34,0.94,0
134,XLMUSDT,VITEUSDT,0.05,-3.36,-3.34,10.28,0
135,XLMUSDT,DREPUSDT,0.01,-3.97,-3.34,0.53,0
136,XLMUSDT,SCUSDT,0.03,-3.54,-3.34,41.75,0
137,XLMUSDT,CRVUSDT,0.05,-3.37,-3.34,0.25,0
138,XLMUSDT,LUNAUSDT,0.05,-3.36,-3.34,0.27,0
139,XLMUSDT,RUNEUSDT,0.04,-3.42,-3.34,0.09,0
140,XLMUSDT,OGUSDT,0.02,-3.74,-3.34,0.03,0
141,XLMUSDT,ATMUSDT,0.01,-3.77,-3.34,0.05,0
142,XLMUSDT,CELOUSDT,0.04,-3.42,-3.34,0.28,0
143,XLMUSDT,ALPACAUSDT,0.01,-3.99,-3.34,0.89,0
144,XLMUSDT,REQUSDT,0.03,-3.54,-3.34,1.84,0
145,XLMUSDT,AGLDUSDT,0.04,-3.47,-3.34,0.23,0
147,XLMUSDT,AMPUSDT,0.03,-3.58,-3.34,60.94,0
160,ONTUSDT,PERLUSDT,0.0,-4.14,-3.34,11.09,0
148,XLMUSDT,SANTOSUSDT,0.02,-3.74,-3.34,0.04,0
149,XLMUSDT,BSWUSDT,0.04,-3.46,-3.34,1.8,0
150,XLMUSDT,USTCUSDT,0.01,-3.77,-3.34,9.64,0
151,XLMUSDT,GLMUSDT,0.02,-3.75,-3.34,0.7,0
152,XLMUSDT,USDTARS,0.03,-3.57,-3.34,0.0,0
153,ONTUSDT,LINKUSDT,0.04,-3.43,-3.34,0.03,0
154,ONTUSDT,ONGUSDT,0.04,-3.4,-3.34,0.76,0
155,ONTUSDT,ZRXUSDT,0.04,-3.38,-3.34,0.91,0
156,ONTUSDT,XMRUSDT,0.03,-3.53,-3.34,0.0,0
157,ONTUSDT,ZECUSDT,0.02,-3.63,-3.34,0.01,0
158,ONTUSDT,ALGOUSDT,0.05,-3.35,-3.34,1.7,0
159,ONTUSDT,COSUSDT,0.0,-5.02,-3.34,36.27,0
194,ETCUSDT,COMPUSDT,0.02,-3.68,-3.34,0.35,0
195,ETCUSDT,SCUSDT,0.0,-4.26,-3.34,5316.58,0
196,ETCUSDT,DCRUSDT,0.01,-3.88,-3.34,1.2,0
242,ATOMUSDT,SUNUSDT,0.05,-3.35,-3.34,1410.35,0
228,FETUSDT,UNFIUSDT,0.0,-4.3,-3.34,0.03,0
229,FETUSDT,ALPACAUSDT,0.02,-3.76,-3.34,1.51,0
230,FETUSDT,PYRUSDT,0.0,-4.15,-3.34,0.07,0
231,FETUSDT,ALPINEUSDT,0.02,-3.65,-3.34,0.11,0
232,FETUSDT,AMBUSDT,0.05,-3.35,-3.34,30.31,0
233,FETUSDT,FDUSDUSDT,0.0,-4.22,-3.34,0.22,0
234,CELRUSDT,BNBUSDT,0.02,-3.61,-3.34,0.0,0
237,ATOMUSDT,VITEUSDT,0.03,-3.52,-3.34,607.68,0
238,ATOMUSDT,DREPUSDT,0.01,-3.77,-3.34,31.38,0
239,ATOMUSDT,WNXMUSDT,0.02,-3.72,-3.34,0.25,0
240,ATOMUSDT,EGLDUSDT,0.01,-3.95,-3.34,0.28,0
241,ATOMUSDT,FIOUSDT,0.02,-3.6,-3.34,392.08,0
243,ATOMUSDT,JUVUSDT,0.01,-3.87,-3.34,3.45,0
226,FETUSDT,TUSDUSDT,0.0,-4.32,-3.34,0.22,0
245,ATOMUSDT,ATMUSDT,0.0,-4.36,-3.34,2.88,0
246,ATOMUSDT,TWTUSDT,0.0,-4.19,-3.34,8.86,0
247,ATOMUSDT,BARUSDT,0.02,-3.65,-3.34,2.94,0
248,ATOMUSDT,BURGERUSDT,0.03,-3.49,-3.34,21.41,0
249,ATOMUSDT,RAYUSDT,0.01,-3.99,-3.34,40.13,0
250,ATOMUSDT,ILVUSDT,0.04,-3.42,-3.34,0.17,0
251,ATOMUSDT,YGGUSDT,0.05,-3.38,-3.34,27.64,0
252,ATOMUSDT,SANTOSUSDT,0.0,-4.43,-3.34,2.48,0
254,ATOMUSDT,LDOUSDT,0.04,-3.41,-3.34,4.54,0
255,ATOMUSDT,RPLUSDT,0.01,-3.85,-3.34,0.3,0
256,TFUELUSDT,BNBUSDT,0.05,-3.37,-3.34,0.0,0
257,TFUELUSDT,LTCUSDT,0.05,-3.36,-3.34,0.0,0
227,FETUSDT,INJUSDT,0.05,-3.35,-3.34,0.03,0
225,HOTUSDT,WNXMUSDT,0.02,-3.65,-3.34,0.0,0
197,ETCUSDT,YFIUSDT,0.0,-5.02,-3.34,0.0,0
210,HOTUSDT,USDCUSDT,0.04,-3.46,-3.34,0.0,0
198,ETCUSDT,BLZUSDT,0.05,-3.36,-3.34,135.6,0
199,ETCUSDT,CRVUSDT,0.0,-4.41,-3.34,32.23,0
200,ETCUSDT,WNXMUSDT,0.0,-4.36,-3.34,0.54,0
201,ETCUSDT,AAVEUSDT,0.05,-3.35,-3.34,0.27,0
202,ETCUSDT,NEARUSDT,0.01,-3.84,-3.34,13.4,0
203,ETCUSDT,ROSEUSDT,0.04,-3.38,-3.34,382.73,0
204,ETCUSDT,XEMUSDT,0.02,-3.6,-3.34,615.16,0
205,VETUSDT,DUSKUSDT,0.04,-3.46,-3.34,0.15,0
206,VETUSDT,DREPUSDT,0.05,-3.35,-3.34,0.07,0
207,USDCUSDT,BTCUSDT,0.01,-3.83,-3.34,0.0,0
208,ONGUSDT,BTCUSDT,0.05,-3.37,-3.34,0.0,0
209,ONGUSDT,LTCUSDT,0.05,-3.37,-3.34,0.0,0
211,HOTUSDT,WINUSDT,0.02,-3.7,-3.34,17.92,0
224,HOTUSDT,LUNAUSDT,0.01,-3.86,-3.34,0.0,0
212,HOTUSDT,COSUSDT,0.02,-3.6,-3.34,0.24,0
213,HOTUSDT,DENTUSDT,0.0,-4.67,-3.34,1.68,0
214,HOTUSDT,FUNUSDT,0.03,-3.58,-3.34,0.26,0
215,HOTUSDT,BUSDUSDT,0.01,-4.09,-3.34,0.0,0
216,HOTUSDT,VITEUSDT,0.0,-4.54,-3.34,0.09,0
217,HOTUSDT,DREPUSDT,0.03,-3.57,-3.34,0.0,0
218,HOTUSDT,LTOUSDT,0.02,-3.61,-3.34,0.02,0
219,HOTUSDT,MBLUSDT,0.03,-3.58,-3.34,0.39,0
220,HOTUSDT,SCUSDT,0.02,-3.67,-3.34,0.37,0
221,HOTUSDT,BLZUSDT,0.04,-3.44,-3.34,0.01,0
222,HOTUSDT,USDTDAI,0.02,-3.63,-3.34,0.0,0
223,HOTUSDT,CRVUSDT,0.0,-4.44,-3.34,0.0,0
133,XLMUSDT,CTXCUSDT,0.04,-3.44,-3.34,1.0,0
132,XLMUSDT,BUSDUSDT,0.02,-3.76,-3.34,0.13,0
131,XLMUSDT,FUNUSDT,0.03,-3.51,-3.34,28.83,0
48,ETHUSDT,SCUSDT,0.04,-3.47,-3.34,558426.55,0
35,ETHUSDT,WINUSDT,0.02,-3.68,-3.34,26933940.33,0
36,ETHUSDT,COSUSDT,0.03,-3.57,-3.34,363918.25,0
37,ETHUSDT,DENTUSDT,0.03,-3.56,-3.34,2524220.19,0
38,ETHUSDT,FUNUSDT,0.01,-3.97,-3.34,385796.85,0
40,ETHUSDT,RVNUSDT,0.0,-4.51,-3.34,106031.67,0
41,ETHUSDT,STXUSDT,0.03,-3.57,-3.34,3346.4,0
42,ETHUSDT,KAVAUSDT,0.03,-3.53,-3.34,2354.44,0
43,ETHUSDT,CTXCUSDT,0.03,-3.58,-3.34,13331.06,0
44,ETHUSDT,VITEUSDT,0.0,-4.91,-3.34,137568.52,0
45,ETHUSDT,DREPUSDT,0.01,-3.77,-3.34,7110.3,0
46,ETHUSDT,LTOUSDT,0.03,-3.53,-3.34,29482.8,0
47,ETHUSDT,MBLUSDT,0.03,-3.57,-3.34,589735.03,0
49,ETHUSDT,DGBUSDT,0.01,-3.78,-3.34,240288.41,0
33,ETHUSDT,MATICUSDT,0.01,-3.84,-3.34,2886.99,0
50,ETHUSDT,MANAUSDT,0.02,-3.64,-3.34,5316.14,0
51,ETHUSDT,BALUSDT,0.03,-3.54,-3.34,458.6,0
53,ETHUSDT,CRVUSDT,0.01,-4.05,-3.34,3385.45,0
54,ETHUSDT,LUNAUSDT,0.01,-3.79,-3.34,3655.19,0
55,ETHUSDT,WNXMUSDT,0.0,-5.22,-3.34,57.05,0
56,ETHUSDT,KSMUSDT,0.02,-3.61,-3.34,83.5,0
57,BNBUSDT,LTCUSDT,0.0,-4.55,-3.34,3.14,0
58,BNBUSDT,QTUMUSDT,0.03,-3.53,-3.34,97.1,0
59,BNBUSDT,XRPUSDT,0.01,-3.81,-3.34,402.81,0
60,BNBUSDT,EOSUSDT,0.0,-4.81,-3.34,355.87,0
62,BNBUSDT,ICXUSDT,0.03,-3.59,-3.34,1228.63,0
64,BNBUSDT,ZILUSDT,0.01,-3.82,-3.34,12658.82,0
34,ETHUSDT,FTMUSDT,0.02,-3.6,-3.34,8017.65,0
32,ETHUSDT,ENJUSDT,0.05,-3.35,-3.34,6662.62,0
66,BNBUSDT,XMRUSDT,0.03,-3.58,-3.34,1.51,0
15,BTCUSDT,PNTUSDT,0.01,-3.85,-3.34,261983.9,0
2,BTCUSDT,WAVESUSDT,0.03,-3.52,-3.34,16412.21,0
3,BTCUSDT,XMRUSDT,0.01,-3.88,-3.34,183.36,0
4,BTCUSDT,ZECUSDT,0.0,-4.38,-3.34,1024.64,0
5,BTCUSDT,PERLUSDT,0.03,-3.53,-3.34,1769450.32,0
6,BTCUSDT,DOCKUSDT,0.03,-3.53,-3.34,1910138.96,0
7,BTCUSDT,WANUSDT,0.01,-3.95,-3.34,142922.28,0
9,BTCUSDT,CTXCUSDT,0.05,-3.35,-3.34,212082.74,0
10,BTCUSDT,DREPUSDT,0.01,-3.78,-3.34,113117.65,0
11,BTCUSDT,LTOUSDT,0.02,-3.71,-3.34,469064.26,0
12,BTCUSDT,CTSIUSDT,0.04,-3.45,-3.34,207453.02,0
13,BTCUSDT,HIVEUSDT,0.05,-3.36,-3.34,89280.16,0
14,BTCUSDT,KNCUSDT,0.05,-3.34,-3.34,46411.05,0
16,BTCUSDT,SCUSDT,0.03,-3.59,-3.34,8883999.04,0
31,ETHUSDT,THETAUSDT,0.02,-3.69,-3.34,2585.47,0
17,BTCUSDT,SXPUSDT,0.0,-4.2,-3.34,95592.21,0
18,BTCUSDT,DCRUSDT,0.03,-3.58,-3.34,2003.65,0
20,BTCUSDT,WNXMUSDT,0.0,-5.23,-3.34,907.73,0
21,BTCUSDT,SUSHIUSDT,0.02,-3.73,-3.34,42723.69,0
22,ETHUSDT,LTCUSDT,0.01,-3.83,-3.34,23.93,0
23,ETHUSDT,QTUMUSDT,0.01,-3.84,-3.34,741.22,0
24,ETHUSDT,ADAUSDT,0.05,-3.35,-3.34,6339.83,0
25,ETHUSDT,XRPUSDT,0.02,-3.61,-3.34,3074.97,0
27,ETHUSDT,ZILUSDT,0.04,-3.43,-3.34,96632.89,0
28,ETHUSDT,BATUSDT,0.04,-3.45,-3.34,9272.37,0
29,ETHUSDT,XMRUSDT,0.03,-3.57,-3.34,11.52,0
30,ETHUSDT,OMGUSDT,0.01,-3.95,-3.34,3440.6,0
65,BNBUSDT,BATUSDT,0.02,-3.6,-3.34,1214.62,0
67,BNBUSDT,ZECUSDT,0.02,-3.62,-3.34,8.44,0
130,XLMUSDT,WANUSDT,0.03,-3.52,-3.34,0.67,0
115,NEOUSDT,ARDRUSDT,0.05,-3.36,-3.34,115.31,0
102,NEOUSDT,WANUSDT,0.01,-3.88,-3.34,40.03,0
103,NEOUSDT,FUNUSDT,0.03,-3.59,-3.34,1719.24,0
104,NEOUSDT,CVCUSDT,0.04,-3.4,-3.34,100.81,0
106,NEOUSDT,CTXCUSDT,0.0,-4.7,-3.34,59.42,0
107,NEOUSDT,TROYUSDT,0.03,-3.51,-3.34,3206.94,0
108,NEOUSDT,DREPUSDT,0.02,-3.73,-3.34,31.67,0
109,NEOUSDT,BTSUSDT,0.01,-3.96,-3.34,826.06,0
110,NEOUSDT,LTOUSDT,0.0,-4.44,-3.34,131.39,0
111,NEOUSDT,MBLUSDT,0.01,-3.8,-3.34,2629.65,0
112,NEOUSDT,COTIUSDT,0.02,-3.69,-3.34,178.66,0
113,NEOUSDT,WTCUSDT,0.01,-4.04,-3.34,50.19,0
114,NEOUSDT,CTSIUSDT,0.03,-3.56,-3.34,58.14,0
116,NEOUSDT,SCUSDT,0.0,-4.23,-3.34,2490.76,0
100,NEOUSDT,PERLUSDT,0.0,-4.15,-3.34,495.79,0
117,NEOUSDT,SNXUSDT,0.05,-3.35,-3.34,3.38,0
118,NEOUSDT,SXPUSDT,0.0,-4.15,-3.34,26.81,0
119,NEOUSDT,DCRUSDT,0.03,-3.59,-3.34,0.56,0
121,NEOUSDT,WNXMUSDT,0.0,-4.35,-3.34,0.25,0
122,NEOUSDT,SUSHIUSDT,0.05,-3.37,-3.34,11.97,0
123,IOTAUSDT,XNOUSDT,0.04,-3.42,-3.34,0.26,0
124,XLMUSDT,TUSDUSDT,0.0,-4.13,-3.34,0.13,0
125,XLMUSDT,USDCUSDT,0.03,-3.57,-3.34,0.13,0
126,XLMUSDT,CELRUSDT,0.04,-3.42,-3.34,10.28,0
127,XLMUSDT,ENJUSDT,0.01,-3.94,-3.34,0.5,0
128,XLMUSDT,COSUSDT,0.04,-3.42,-3.34,27.2,0
129,XLMUSDT,PERLUSDT,0.0,-4.15,-3.34,8.32,0
101,NEOUSDT,DOCKUSDT,0.02,-3.69,-3.34,534.98,0
99,NEOUSDT,COSUSDT,0.0,-5.11,-3.34,1621.85,0
68,BNBUSDT,IOSTUSDT,0.04,-3.4,-3.34,29306.8,0
82,BNBUSDT,SCUSDT,0.0,-4.21,-3.34,73159.49,0
69,BNBUSDT,THETAUSDT,0.01,-3.83,-3.34,338.69,0
70,BNBUSDT,DOGEUSDT,0.02,-3.62,-3.34,3340.43,0
71,BNBUSDT,COSUSDT,0.01,-3.86,-3.34,47673.01,0
72,BNBUSDT,PERLUSDT,0.02,-3.6,-3.34,14571.05,0
73,BNBUSDT,WANUSDT,0.0,-4.65,-3.34,1176.88,0
74,BNBUSDT,FUNUSDT,0.01,-4.09,-3.34,50540.4,0
76,BNBUSDT,STXUSDT,0.01,-3.84,-3.34,438.37,0
77,BNBUSDT,CTXCUSDT,0.0,-4.16,-3.34,1746.44,0
78,BNBUSDT,DREPUSDT,0.05,-3.37,-3.34,931.36,0
79,BNBUSDT,LSKUSDT,0.02,-3.68,-3.34,296.72,0
80,BNBUSDT,LTOUSDT,0.02,-3.69,-3.34,3862.15,0
81,BNBUSDT,COMPUSDT,0.04,-3.41,-3.34,4.77,0
83,BNBUSDT,DGBUSDT,0.01,-3.77,-3.34,31476.8,0
98,NEOUSDT,DASHUSDT,0.02,-3.64,-3.34,0.27,0
84,BNBUSDT,DCRUSDT,0.0,-4.36,-3.34,16.5,0
85,BNBUSDT,YFIUSDT,0.01,-3.92,-3.34,0.04,0
87,BNBUSDT,CRVUSDT,0.03,-3.57,-3.34,443.45,0
88,BNBUSDT,WNXMUSDT,0.0,-5.29,-3.34,7.47,0
89,NEOUSDT,BTCUSDT,0.04,-3.39,-3.34,0.0,0
91,NEOUSDT,NULSUSDT,0.04,-3.41,-3.34,41.17,0
92,NEOUSDT,WAVESUSDT,0.0,-4.24,-3.34,4.6,0
93,NEOUSDT,ZRXUSDT,0.04,-3.47,-3.34,40.51,0
94,NEOUSDT,BATUSDT,0.01,-3.83,-3.34,41.35,0
95,NEOUSDT,XMRUSDT,0.03,-3.48,-3.34,0.05,0
96,NEOUSDT,ZECUSDT,0.0,-4.75,-3.34,0.29,0
97,NEOUSDT,CELRUSDT,0.01,-4.03,-3.34,613.3,0
258,TFUELUSDT,QTUMUSDT,0.01,-3.93,-3.34,0.02,0
260,ANKRUSDT,QTUMUSDT,0.0,-4.28,-3.34,0.01,0
505,WTCUSDT,BNBUSDT,0.01,-3.81,-3.34,0.0,0
261,ANKRUSDT,ADAUSDT,0.03,-3.54,-3.34,0.08,0
416,EURUSDT,OMGUSDT,0.03,-3.53,-3.34,2.16,0
417,EURUSDT,FTMUSDT,0.04,-3.39,-3.34,5.03,0
418,EURUSDT,DENTUSDT,0.04,-3.44,-3.34,1581.51,0
419,EURUSDT,FUNUSDT,0.02,-3.76,-3.34,242.04,0
420,EURUSDT,CHZUSDT,0.03,-3.49,-3.34,16.19,0
421,EURUSDT,BANDUSDT,0.05,-3.35,-3.34,0.99,0
422,EURUSDT,BUSDUSDT,0.03,-3.56,-3.34,1.08,0
423,EURUSDT,XTZUSDT,0.03,-3.48,-3.34,1.48,0
424,EURUSDT,VITEUSDT,0.04,-3.45,-3.34,86.32,0
425,EURUSDT,MBLUSDT,0.02,-3.59,-3.34,369.5,0
426,EURUSDT,USDTZAR,0.01,-3.81,-3.34,0.06,0
427,EURUSDT,USDTIDRT,0.05,-3.36,-3.34,0.0,0
428,EURUSDT,USDTUAH,0.01,-3.93,-3.34,0.03,0
429,EURUSDT,SCUSDT,0.04,-3.42,-3.34,349.85,0
430,EURUSDT,DGBUSDT,0.02,-3.67,-3.34,150.66,0
431,EURUSDT,BLZUSDT,0.02,-3.7,-3.34,9.15,0
432,EURUSDT,USDTDAI,0.04,-3.43,-3.34,1.08,0
433,EURUSDT,DOTUSDT,0.03,-3.49,-3.34,0.24,0
434,EURUSDT,TRBUSDT,0.02,-3.62,-3.34,0.05,0
435,WRXUSDT,ADAUSDT,0.0,-4.98,-3.34,0.39,0
436,WRXUSDT,XRPUSDT,0.0,-4.64,-3.34,0.19,0
437,WRXUSDT,EOSUSDT,0.02,-3.63,-3.34,0.17,0
438,WRXUSDT,TUSDUSDT,0.0,-4.67,-3.34,0.1,0
439,BTSUSDT,BTCUSDT,0.03,-3.53,-3.34,0.0,0
440,STPTUSDT,VTHOUSDT,0.04,-3.38,-3.34,43.61,0
441,STPTUSDT,TRUUSDT,0.03,-3.53,-3.34,1.34,0
442,STPTUSDT,SPELLUSDT,0.02,-3.61,-3.34,102.73,0
415,EURUSDT,FETUSDT,0.05,-3.36,-3.34,4.92,0
414,EURUSDT,USDCUSDT,0.01,-3.88,-3.34,1.08,0
413,EURUSDT,TRXUSDT,0.02,-3.63,-3.34,13.87,0
397,BUSDTRY,ASTRUSDT,0.05,-3.34,-3.34,478.83,0
384,BUSDTRY,USDTBRL,0.02,-3.62,-3.34,5.5,0
385,BUSDTRY,TWTUSDT,0.04,-3.42,-3.34,31.79,0
386,BUSDTRY,ATAUSDT,0.03,-3.56,-3.34,349.8,0
387,BUSDTRY,MINAUSDT,0.04,-3.42,-3.34,66.38,0
388,BUSDTRY,ELFUSDT,0.03,-3.48,-3.34,88.43,0
389,BUSDTRY,ILVUSDT,0.04,-3.45,-3.34,0.61,0
390,BUSDTRY,MOVRUSDT,0.04,-3.41,-3.34,5.96,0
391,BUSDTRY,VGXUSDT,0.05,-3.35,-3.34,197.55,0
392,BUSDTRY,PLAUSDT,0.02,-3.63,-3.34,167.91,0
393,BUSDTRY,FXSUSDT,0.03,-3.55,-3.34,4.61,0
394,BUSDTRY,SCRTUSDT,0.04,-3.42,-3.34,93.61,0
396,BUSDTRY,ALPINEUSDT,0.02,-3.6,-3.34,14.09,0
398,BUSDTRY,REIUSDT,0.03,-3.51,-3.34,1105.63,0
412,EURUSDT,TUSDUSDT,0.0,-4.5,-3.34,1.08,0
399,BUSDTRY,MAGICUSDT,0.04,-3.4,-3.34,43.69,0
401,BUSDTRY,GNSUSDT,0.05,-3.38,-3.34,6.85,0
402,BUSDTRY,AMBUSDT,0.01,-3.88,-3.34,3761.09,0
403,BUSDTRY,ARBUSDT,0.04,-3.38,-3.34,27.06,0
404,BUSDTRY,PENDLEUSDT,0.05,-3.37,-3.34,42.74,0
405,BUSDTRY,TUSDTRY,0.01,-3.8,-3.34,1.0,0
406,BUSDTRY,FDUSDUSDT,0.02,-3.68,-3.34,27.21,0
407,USDTTRY,TUSDUSDT,0.03,-3.51,-3.34,27.22,0
408,USDTTRY,TOMOUSDT,0.05,-3.36,-3.34,20.36,0
409,USDTRUB,IOTAUSDT,0.02,-3.62,-3.34,595.04,0
410,USDTRUB,HBARUSDT,0.05,-3.38,-3.34,1743.07,0
411,USDTRUB,NKNUSDT,0.04,-3.4,-3.34,1068.02,0
443,USDTZAR,BTCUSDT,0.03,-3.54,-3.34,0.0,0
444,USDTZAR,ETHUSDT,0.02,-3.61,-3.34,0.01,0
445,USDTZAR,BNBUSDT,0.02,-3.75,-3.34,0.09,0
491,USDTZAR,BUSDUSDT,0.0,-4.39,-3.34,19.25,0
478,USDTZAR,DUSKUSDT,0.05,-3.36,-3.34,173.91,0
479,USDTZAR,ANKRUSDT,0.02,-3.7,-3.34,913.43,0
480,USDTZAR,WINUSDT,0.02,-3.74,-3.34,302317.26,0
481,USDTZAR,COSUSDT,0.03,-3.58,-3.34,4079.47,0
482,USDTZAR,MTLUSDT,0.03,-3.53,-3.34,15.28,0
483,USDTZAR,TOMOUSDT,0.03,-3.58,-3.34,14.4,0
484,USDTZAR,PERLUSDT,0.02,-3.69,-3.34,1246.21,0
485,USDTZAR,DENTUSDT,0.01,-3.88,-3.34,28231.58,0
486,USDTZAR,KEYUSDT,0.03,-3.48,-3.34,3836.72,0
487,USDTZAR,FUNUSDT,0.01,-4.0,-3.34,4321.48,0
488,USDTZAR,CVCUSDT,0.03,-3.58,-3.34,252.83,0
489,USDTZAR,CHZUSDT,0.03,-3.55,-3.34,288.97,0
492,USDTZAR,XTZUSDT,0.02,-3.75,-3.34,26.39,0
476,USDTZAR,ALGOUSDT,0.02,-3.6,-3.34,191.04,0
493,USDTZAR,RENUSDT,0.02,-3.67,-3.34,377.21,0
494,USDTZAR,RVNUSDT,0.03,-3.49,-3.34,1187.0,0
495,USDTZAR,HBARUSDT,0.02,-3.72,-3.34,346.67,0
496,USDTZAR,NKNUSDT,0.03,-3.54,-3.34,212.32,0
497,USDTZAR,STXUSDT,0.02,-3.67,-3.34,37.4,0
498,USDTZAR,KAVAUSDT,0.02,-3.75,-3.34,26.31,0
499,USDTZAR,ARPAUSDT,0.04,-3.44,-3.34,416.23,0
500,USDTZAR,CTXCUSDT,0.02,-3.68,-3.34,149.38,0
501,USDTZAR,VITEUSDT,0.02,-3.69,-3.34,1541.27,0
502,USDTZAR,USDTRUB,0.04,-3.39,-3.34,0.2,0
503,WTCUSDT,BTCUSDT,0.01,-3.98,-3.34,0.0,0
504,WTCUSDT,ETHUSDT,0.03,-3.51,-3.34,0.0,0
477,USDTZAR,DOGEUSDT,0.03,-3.55,-3.34,285.45,0
475,USDTZAR,FTMUSDT,0.02,-3.65,-3.34,89.75,0
446,USDTZAR,LTCUSDT,0.04,-3.43,-3.34,0.27,0
460,USDTZAR,ZILUSDT,0.02,-3.69,-3.34,1080.54,0
447,USDTZAR,QTUMUSDT,0.01,-3.87,-3.34,8.29,0
448,USDTZAR,ADAUSDT,0.02,-3.71,-3.34,71.04,0
449,USDTZAR,XRPUSDT,0.03,-3.56,-3.34,34.35,0
450,USDTZAR,EOSUSDT,0.02,-3.64,-3.34,30.37,0
451,USDTZAR,TUSDUSDT,0.0,-5.75,-3.34,19.27,0
452,USDTZAR,IOTAUSDT,0.03,-3.53,-3.34,118.31,0
453,USDTZAR,XLMUSDT,0.04,-3.46,-3.34,149.78,0
454,USDTZAR,TRXUSDT,0.03,-3.51,-3.34,247.93,0
456,USDTZAR,ICXUSDT,0.03,-3.55,-3.34,104.77,0
457,USDTZAR,USDCUSDT,0.0,-4.29,-3.34,19.25,0
458,USDTZAR,ONGUSDT,0.03,-3.49,-3.34,86.0,0
459,USDTZAR,HOTUSDT,0.03,-3.48,-3.34,16799.47,0
461,USDTZAR,ZRXUSDT,0.03,-3.58,-3.34,101.5,0
474,USDTZAR,ONEUSDT,0.01,-3.86,-3.34,1854.86,0
462,USDTZAR,FETUSDT,0.0,-4.36,-3.34,87.94,0
463,USDTZAR,BATUSDT,0.02,-3.75,-3.34,103.71,0
464,USDTZAR,XMRUSDT,0.03,-3.51,-3.34,0.13,0
465,USDTZAR,IOSTUSDT,0.04,-3.41,-3.34,2502.58,0
466,USDTZAR,CELRUSDT,0.04,-3.39,-3.34,1538.03,0
467,USDTZAR,DASHUSDT,0.04,-3.39,-3.34,0.68,0
468,USDTZAR,OMGUSDT,0.02,-3.61,-3.34,38.49,0
469,USDTZAR,THETAUSDT,0.03,-3.53,-3.34,28.93,0
470,USDTZAR,ENJUSDT,0.03,-3.55,-3.34,74.55,0
471,USDTZAR,MATICUSDT,0.02,-3.64,-3.34,32.27,0
472,USDTZAR,ATOMUSDT,0.02,-3.61,-3.34,2.53,0
473,USDTZAR,TFUELUSDT,0.02,-3.6,-3.34,543.32,0
383,BUSDTRY,FLMUSDT,0.04,-3.44,-3.34,385.32,0
382,BUSDTRY,USDTNGN,0.02,-3.66,-3.34,0.03,0
379,BUSDTRY,GBPUSDT,0.04,-3.39,-3.34,22.35,0
304,CHZUSDT,MBLUSDT,0.03,-3.56,-3.34,22.77,0
292,CHZUSDT,QTUMUSDT,0.03,-3.54,-3.34,0.03,0
293,CHZUSDT,ADAUSDT,0.0,-4.17,-3.34,0.24,0
294,CHZUSDT,XRPUSDT,0.02,-3.68,-3.34,0.12,0
295,CHZUSDT,USDCUSDT,0.03,-3.57,-3.34,0.07,0
296,CHZUSDT,OMGUSDT,0.03,-3.56,-3.34,0.13,0
297,CHZUSDT,FTMUSDT,0.03,-3.56,-3.34,0.31,0
298,CHZUSDT,WINUSDT,0.0,-4.75,-3.34,1036.8,0
299,CHZUSDT,FUNUSDT,0.0,-4.18,-3.34,14.88,0
300,CHZUSDT,BUSDUSDT,0.01,-4.08,-3.34,0.07,0
301,CHZUSDT,KAVAUSDT,0.0,-5.15,-3.34,0.09,0
302,CHZUSDT,VITEUSDT,0.0,-4.23,-3.34,5.3,0
303,CHZUSDT,WRXUSDT,0.02,-3.76,-3.34,0.63,0
305,CHZUSDT,COMPUSDT,0.04,-3.42,-3.34,0.0,0
290,KEYUSDT,MULTIUSDT,0.04,-3.44,-3.34,0.0,0
306,CHZUSDT,SCUSDT,0.05,-3.35,-3.34,21.57,0
307,CHZUSDT,YFIUSDT,0.03,-3.56,-3.34,0.0,0
308,CHZUSDT,BALUSDT,0.0,-4.14,-3.34,0.02,0
309,CHZUSDT,BLZUSDT,0.03,-3.49,-3.34,0.54,0
310,CHZUSDT,USDTDAI,0.04,-3.45,-3.34,0.07,0
311,CHZUSDT,CRVUSDT,0.04,-3.41,-3.34,0.13,0
312,CHZUSDT,SANDUSDT,0.0,-4.19,-3.34,0.19,0
313,CHZUSDT,WNXMUSDT,0.01,-4.01,-3.34,0.0,0
314,XTZUSDT,ADAUSDT,0.04,-3.41,-3.34,2.69,0
